portal	name
LeugonAS2_1	Leucoagaricus_gongylophorus_AS2_v1.0
Bgh5874_1	Blumeria_graminis_f._sp._hordei_5874_v1.0
Leugon1	Leucoagaricus_gongylophorus_AB2_v1.0
Erypi2	Erysiphe_pisi_Palampur-1_v2.0
LeugonAL2_1	Leucoagaricus_gongylophorus_AL2_v1.0
Phcap1	Phyllosticta_capitalensis_CBS_117118_v1.0
Phcapi1	Phyllosticta_capitalensis_CBS_356.52_v1.0
Pcapi1	Phyllosticta_capitalensis_CBS_123374_v1.0
Suiplac1	Suillus_placidus_S07_v1.0
Morwol1	Mortierella_wolfii_NRRL_6351_v1.0
Schseg1_1	Scheffersomyces_segobiensis_NRRL_Y-11571T_v1.0
Suiplo1	Suillus_plorans_S12_v1.0
Suivari1	Suillus_cf._variegatus_FC465_v1.0
Moramb1	Mortierella_ambigua_NRRL_28271_v1.0
PhyblU21_2	Phycomyces_blakesleeanus_UBC21_v2.0
Filflo1	Filobasidium_floriforme_CBS_6241_v1.0
Aspass1	Aspergillus_assulatus_CBS_27911_v1.0
Asptan1	Aspergillus_tanneri_DTO_303-18_v1.0
Aspcalif1	Aspergillus_californicus_CBS_123895_v1.0
Asphethal1	Aspergillus_heterothallicus_CBS_489.65_v1.0
Asplaci1	Aspergillus_laciniosus_CBS_117721_v1.0
Aspbot1	Aspergillus_botucatensis_CBS_114221_v1.0
Aspger1	Aspergillus_germanicus_CBS_123887_v1.0
Aspkev1	Aspergillus_keveii_CBS_209.92_v1.0
Asppterr1	Aspergillus_pseudoterreus_DTO_47-E6_v1.0
Aspsublat1	Aspergillus_sublatus_IBT_19356_v1.0
Aspaurlut1	Aspergillus_aureoluteus_CBS_105.55_v1.0
Aspiiz1	Aspergillus_iizukae_CBS_541.69_v1.0
Asparx1	Aspergillus_arxii_CBS_52583_v1.0
Aspneoi1	Aspergillus_neoindicus_CBS_444.75_v1.0
Aspcorea1	Aspergillus_coreanus_CBS_117059_v1.0
Aspins1	Aspergillus_insuetus_CBS_107.25_v1.0
Aspneof1	Aspergillus_neoflavipes_CBS_260.73_v1.0
Aspbre1	Aspergillus_brevipes_CBS_118.53_v1.0
Aspfer1	Aspergillus_ferenczii_CBS_121594_v1.0
Aspramb1	Aspergillus_rambellii_100887_v1.0
Asppal1_1	Aspergillus_paleaceus_CBS_498.65_v1.0
Aspign1	Aspergillus_igneus_CBS_466.65_v1.0
Aspgal1	Aspergillus_galapagensis_CBS_117522_v1.0
Aspquaf1	Aspergillus_quadrilineatus_(floriformis)_CBS_937.73_v1.0
Aspquag1	Aspergillus_quadrilineatus_(gemmatus)_CBS_853.96_v1.0
Asptur1	Aspergillus_turcosus_IBT_27921_v1.0
Asphir1	Aspergillus_hiratsukae_CBS_294.93_v1.0
Aspfumig1	Aspergillus_fumigatiaffinis_CBS_117186_v1.0
Asppri1	Aspergillus_primulinus_CBS_253.94_v1.0
Aspfumis1	Aspergillus_fumisynnematus_IBT_28474_v1.0
Asplen1	Aspergillus_lentulus_CBS_117885_v1.0
Aspflo1	Aspergillus_floccosus_CBS_116.37_v1.0
Asppap1	Aspergillus_papuensis_CBS_841.96_v1.0
Aspcanin1	Aspergillus_caninus_CBS_128032_v1.0
Sarstr1	Sarocladium_strictum_UNK_v1.0
Aspfla1	Aspergillus_flavipes_CBS_22552_v1.0
Aspbip1	Aspergillus_biplanus_CBS_468.65_v1.0
Aspfre1	Aspergillus_frequens_CBS_586.65_v1.0
Aspchr1	Aspergillus_chrysellus_CBS_472.65_v1.0
Aspamoe1	Aspergillus_amoeneus_CBS_111.32_v1.0
Aspfloc1	Aspergillus_flocculosus_v1.0
Aspspi1	Aspergillus_spinosus_CBS_483.65_v1.0
Aspfru1	Aspergillus_fructiculosus_v1.0
Aspalli1	Aspergillus_alliaceus_CBS_536.65_v1.0
Aspspa1	Aspergillus_spathulatus_CBS_408.89_v1.0
Asppdef1	Aspergillus_pseudodeflectus_v1.0
Aspdur1	Aspergillus_duricaulis_CBS_481.65_v1.0
Aspcap1	Aspergillus_capensis_CBS_138188_v1.0
Aspnis1	Aspergillus_nishimurae_IFM_54133_v1.0
Aspala1	Aspergillus_alabamensis_v1.0
