NAME,GENUS,SPECIES,STRAIN,TAXONOMY
Aspergillus_heteromorphus_cbs_117_55,Aspergillus,heteromorphus,cbs_117_55,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Beauveria_bassiana,Beauveria,bassiana,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Cordycipitaceae;genus:Beauveria
Sphaerulina_musiva_so2202,Sphaerulina,musiva,so2202,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Sphaerulina
Stereum_hirsutum_fp_91666_ss1,Stereum,hirsutum,fp_91666_ss1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Stereaceae;genus:Stereum
Cryptococcus_neoformans_var_grubii_ad1_83a,Cryptococcus,neoformans,var_grubii_ad1_83a,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Penicillium_digitatum_pd1,Penicillium,digitatum,pd1,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Candida_albicans_p75063,Candida,albicans,p75063,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Candida
Tolypocladium_capitatum,Tolypocladium,capitatum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Ophiocordycipitaceae;genus:Tolypocladium
Tuber_melanosporum,Tuber,melanosporum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Pezizomycetes;;family:Tuberaceae;genus:Tuber
Lachancea_dasiensis_cbs_10888,Lachancea,dasiensis,cbs_10888,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Lachancea
Candida_albicans_p37037,Candida,albicans,p37037,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Candida
Fusarium_fujikuroi,Fusarium,fujikuroi,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Dothistroma_septosporum,Dothistroma,septosporum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Dothistroma
Emmonsia_crescens,Emmonsia,crescens,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Emmonsia
Saccharomyces_cerevisiae_yjm1419,Saccharomyces,cerevisiae,yjm1419,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Daedalea_quercina_l_15889,Daedalea,quercina,l_15889,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Fomitopsidaceae;genus:Daedalea
Mucor_ambiguus,Mucor,ambiguus,,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Mucoraceae;genus:Mucor
Trichoderma_citrinoviride,Trichoderma,citrinoviride,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Hypocreaceae;genus:Trichoderma
Saccharomyces_cerevisiae_yjm681,Saccharomyces,cerevisiae,yjm681,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Nematocida_parisii_ertm3,Nematocida,parisii,ertm3,phylum:Microsporidia;;;;;genus:Nematocida
Fusarium_fujikuroi,Fusarium,fujikuroi,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Diplocarpon_rosae,Diplocarpon,rosae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Drepanopezizaceae;genus:Diplocarpon
Sporisorium_reilianum,Sporisorium,reilianum,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Ustilaginomycetes;;family:Ustilaginaceae;genus:Sporisorium
Galerina_marginata_cbs_339_88,Galerina,marginata,cbs_339_88,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Strophariaceae;genus:Galerina
Ordospora_colligata_oc4,Ordospora,colligata,oc4,phylum:Microsporidia;;;;family:Ordosporidae;genus:Ordospora
Candida_orthopsilosis_co_90_125,Candida,orthopsilosis,co_90_125,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Candida
Sporothrix_schenckii_atcc_58251,Sporothrix,schenckii,atcc_58251,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Ophiostomataceae;genus:Sporothrix
Cryptococcus_gattii_nt_10,Cryptococcus,gattii,nt_10,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Erysiphe_necator,Erysiphe,necator,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Erysiphaceae;genus:Erysiphe
Aspergillus_flavus_af70,Aspergillus,flavus,af70,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Saccharomyces_cerevisiae_yjm689,Saccharomyces,cerevisiae,yjm689,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Cryptococcus_neoformans_var_grubii,Cryptococcus,neoformans,var_grubii,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Tolypocladium_paradoxum,Tolypocladium,paradoxum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Ophiocordycipitaceae;genus:Tolypocladium
Aspergillus_arachidicola,Aspergillus,arachidicola,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Saccharomyces_cerevisiae_yjm1388,Saccharomyces,cerevisiae,yjm1388,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Puccinia_coronata_var_avenae_f_sp_avenae,Puccinia,coronata,var_avenae_f_sp_avenae,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Pucciniomycetes;;family:Pucciniaceae;genus:Puccinia
candida_duobushaemulonis,candida,duobushaemulonis,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Metschnikowiaceae;genus:Clavispora
Nematocida_displodere,Nematocida,displodere,,phylum:Microsporidia;;;;;genus:Nematocida
Torulaspora_delbrueckii,Torulaspora,delbrueckii,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Torulaspora
Saccharomyces_cerevisiae_yjm981,Saccharomyces,cerevisiae,yjm981,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Ustilago_maydis,Ustilago,maydis,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Ustilaginomycetes;;family:Ustilaginaceae;genus:Ustilago
Lobosporangium_transversale,Lobosporangium,transversale,,phylum:Mucoromycota;subphylum:Mortierellomycotina;class:Mortierellomycetes;;family:Mortierellaceae;genus:Lobosporangium
Tremella_mesenterica_dsm_1558,Tremella,mesenterica,dsm_1558,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Tremellaceae;genus:Tremella
Encephalitozoon_romaleae_sj_2008,Encephalitozoon,romaleae,sj_2008,phylum:Microsporidia;;;;family:Unikaryonidae;genus:Encephalitozoon
Aspergillus_campestris_ibt_28561,Aspergillus,campestris,ibt_28561,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Tetrapisispora_blattae_cbs_6284,Tetrapisispora,blattae,cbs_6284,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Tetrapisispora
Bipolaris_sorokiniana_nd90pr,Bipolaris,sorokiniana,nd90pr,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Bipolaris
Ustilago_hordei,Ustilago,hordei,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Ustilaginomycetes;;family:Ustilaginaceae;genus:Ustilago
Fusarium_fujikuroi,Fusarium,fujikuroi,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Aspergillus_glaucus_cbs_516_65,Aspergillus,glaucus,cbs_516_65,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Wolfiporia_cocos_md_104_ss10,Wolfiporia,cocos,md_104_ss10,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Laetiporaceae;genus:Wolfiporia
Saccharomyces_cerevisiae,Saccharomyces,cerevisiae,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Pestalotiopsis_fici_w106_1,Pestalotiopsis,fici,w106_1,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Xylariomycetidae;family:Sporocadaceae;genus:Pestalotiopsis
Puccinia_graminisug99,Puccinia,graminisug99,,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Pucciniomycetes;;family:Pucciniaceae;genus:Puccinia
Fusarium_culmorum,Fusarium,culmorum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Saccharomyces_cerevisiae_yjm450,Saccharomyces,cerevisiae,yjm450,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Rhizopus_microsporus_atcc_52813,Rhizopus,microsporus,atcc_52813,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Rhizopodaceae;genus:Rhizopus
Fusarium_oxysporum_f_sp_conglutinans_race_2_54008,Fusarium,oxysporum,f_sp_conglutinans_race_2_54008,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Xylona_heveae_tc161,Xylona,heveae,tc161,phylum:Ascomycota;subphylum:Pezizomycotina;class:Xylonomycetes;;family:Xylonaceae;genus:Xylona
Rosellinia_necatrix,Rosellinia,necatrix,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Xylariomycetidae;family:Xylariaceae;genus:Rosellinia
Spizellomyces_punctatus_daom_br117,Spizellomyces,punctatus,daom_br117,phylum:Chytridiomycota;;class:Chytridiomycetes;;family:Spizellomycetaceae;genus:Spizellomyces
Calocera_cornea_hhb12733,Calocera,cornea,hhb12733,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Dacrymycetes;;family:Dacrymycetaceae;genus:Calocera
Aspergillus_rambellii,Aspergillus,rambellii,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Arthrobotrys_oligospora_atcc_24927,Arthrobotrys,oligospora,atcc_24927,phylum:Ascomycota;subphylum:Pezizomycotina;class:Orbiliomycetes;;family:Orbiliaceae;genus:Arthrobotrys
Pseudogymnoascus_sp_vkm_f_3808,Pseudogymnoascus,sp,vkm_f_3808,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Trichophyton_violaceum,Trichophyton,violaceum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Arthrodermataceae;genus:Trichophyton
Meira_miltonrushii,Meira,miltonrushii,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Exobasidiomycetes;;family:Brachybasidiaceae;genus:Meira
Lachancea_meyersii_cbs_8951,Lachancea,meyersii,cbs_8951,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Lachancea
Cryptococcus_gattii_vgii_ca1014,Cryptococcus,gattii,vgii_ca1014,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Wallemia_mellicola_cbs_633_66,Wallemia,mellicola,cbs_633_66,phylum:Basidiomycota;subphylum:Wallemiomycotina;class:Wallemiomycetes;;family:Wallemiaceae;genus:Wallemia
Aureobasidium_pullulans_exf_150,Aureobasidium,pullulans,exf_150,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Saccotheciaceae;genus:Aureobasidium
candida_glabrata,candida,glabrata,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Nakaseomyces
Pseudogymnoascus_verrucosus,Pseudogymnoascus,verrucosus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Pseudogymnoascus_sp_vkm_f_4514_fw_929_,Pseudogymnoascus,sp,vkm_f_4514_fw_929_,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Exserohilum_turcica_et28a,Exserohilum,turcica,et28a,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Exserohilum
Naematelia_encephala,Naematelia,encephala,,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Naemateliaceae;genus:Naematelia
Suillus_luteus_uh_slu_lm8_n1,Suillus,luteus,uh_slu_lm8_n1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Suillaceae;genus:Suillus
Penicillium_camemberti_fm_013,Penicillium,camemberti,fm_013,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Aspergillus_calidoustus,Aspergillus,calidoustus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Fusarium_fujikuroi,Fusarium,fujikuroi,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Fusarium_oxysporum_f_sp_raphani_54005,Fusarium,oxysporum,f_sp_raphani_54005,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Aspergillus_eucalypticola_cbs_122712,Aspergillus,eucalypticola,cbs_122712,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Trichophyton_interdigitale_mr816,Trichophyton,interdigitale,mr816,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Arthrodermataceae;genus:Trichophyton
Piromyces_sp_e2,Piromyces,sp,e2,phylum:Chytridiomycota;;class:Neocallimastigomycetes;;family:Neocallimastigaceae;genus:Piromyces
Tetrapisispora_phaffii_cbs_4417,Tetrapisispora,phaffii,cbs_4417,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Tetrapisispora
Ophiostoma_piceae_uamh_11346,Ophiostoma,piceae,uamh_11346,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Ophiostomataceae;genus:Ophiostoma
Verticillium_dahliae,Verticillium,dahliae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Plectosphaerellaceae;genus:Verticillium
Cryptococcus_neoformans_var_grubii_tu401_1,Cryptococcus,neoformans,var_grubii_tu401_1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Cryptococcus_gattii_vgii_mmrl2647,Cryptococcus,gattii,vgii_mmrl2647,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Nematocida_parisii_ertm1,Nematocida,parisii,ertm1,phylum:Microsporidia;;;;;genus:Nematocida
Cryptococcus_neoformans_var_grubii_bt15,Cryptococcus,neoformans,var_grubii_bt15,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Colletotrichum_nymphaeae_sa_01,Colletotrichum,nymphaeae,sa_01,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Glomerellaceae;genus:Colletotrichum
Batrachochytrium_dendrobatidis_jam81,Batrachochytrium,dendrobatidis,jam81,phylum:Chytridiomycota;;class:Chytridiomycetes;;;genus:Batrachochytrium
Aspergillus_terreus,Aspergillus,terreus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Saccharomyces_cerevisiae_yjm244,Saccharomyces,cerevisiae,yjm244,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Candida_albicans_p34048,Candida,albicans,p34048,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Candida
Nematocida_sp_1_ertm2,Nematocida,sp,1_ertm2,phylum:Microsporidia;;;;;genus:Nematocida
Rhizopus_microsporus,Rhizopus,microsporus,,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Rhizopodaceae;genus:Rhizopus
Colletotrichum_fioriniae_pj7,Colletotrichum,fioriniae,pj7,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Glomerellaceae;genus:Colletotrichum
Rutstroemia_sp_njr_2017a_bvv2,Rutstroemia,sp,njr_2017a_bvv2,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Rutstroemiaceae;genus:Rutstroemia
Aspergillus_lacticoffeatus_cbs_101883,Aspergillus,lacticoffeatus,cbs_101883,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Bipolaris_victoriae_fi3,Bipolaris,victoriae,fi3,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Bipolaris
Saccharomyces_cerevisiae_yjm541,Saccharomyces,cerevisiae,yjm541,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Colletotrichum_gloeosporioides,Colletotrichum,gloeosporioides,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Glomerellaceae;genus:Colletotrichum
Kluyveromyces_marxianus,Kluyveromyces,marxianus,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Kluyveromyces
Encephalitozoon_hellem_atcc_50504,Encephalitozoon,hellem,atcc_50504,phylum:Microsporidia;;;;family:Unikaryonidae;genus:Encephalitozoon
Saccharomyces_cerevisiae_yjm1527,Saccharomyces,cerevisiae,yjm1527,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Trichoderma_reesei,Trichoderma,reesei,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Hypocreaceae;genus:Trichoderma
Wallemia_ichthyophaga_exf_994,Wallemia,ichthyophaga,exf_994,phylum:Basidiomycota;subphylum:Wallemiomycotina;class:Wallemiomycetes;;family:Wallemiaceae;genus:Wallemia
Malassezia_sympodialis_atcc_42132,Malassezia,sympodialis,atcc_42132,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Malasseziomycetes;;family:Malasseziaceae;genus:Malassezia
Baudoinia_panamericana_uamh_10762,Baudoinia,panamericana,uamh_10762,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Teratosphaeriaceae;genus:Baudoinia
Saccharomyces_cerevisiae_yjm683,Saccharomyces,cerevisiae,yjm683,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm1307,Saccharomyces,cerevisiae,yjm1307,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Amphiamblys_sp_wsbs2006,Amphiamblys,sp,wsbs2006,phylum:Microsporidia;;;;family:Amphiacanthidae;genus:Amphiamblys
Microbotryum_intermedium,Microbotryum,intermedium,,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Microbotryomycetes;;family:Microbotryaceae;genus:Microbotryum
Cryptococcus_gattii_ca1873,Cryptococcus,gattii,ca1873,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Hydnomerulius_pinastri_md_312,Hydnomerulius,pinastri,md_312,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Paxillaceae;genus:Hydnomerulius
Komagataella_phaffii,Komagataella,phaffii,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Phaffomycetaceae;genus:Komagataella
Leucoagaricus_sp_symc_cos,Leucoagaricus,sp,symc_cos,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Agaricaceae;genus:Leucoagaricus
Coprinopsis_cinerea_okayama7_130,Coprinopsis,cinerea,okayama7_130,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Psathyrellaceae;genus:Coprinopsis
Grosmannia_clavigera_kw1407,Grosmannia,clavigera,kw1407,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Ophiostomataceae;genus:Grosmannia
Aspergillus_ruber_cbs_135680,Aspergillus,ruber,cbs_135680,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Lachancea_mirantina,Lachancea,mirantina,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Lachancea
Penicillium_roqueforti_fm164,Penicillium,roqueforti,fm164,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Magnaporthe_poae,Magnaporthe,poae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Magnaporthaceae;genus:Magnaporthiopsis
Aspergillus_niger,Aspergillus,niger,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Diplodia_seriata,Diplodia,seriata,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;;family:Botryosphaeriaceae;genus:Diplodia
Cryptococcus_neoformans_var_grubii_c45,Cryptococcus,neoformans,var_grubii_c45,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Suhomyces_tanzawaensis_nrrl_y_17324,Suhomyces,tanzawaensis,nrrl_y_17324,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Suhomyces
Cryptococcus_neoformans_var_grubii_d17_1,Cryptococcus,neoformans,var_grubii_d17_1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Ogataea_polymorpha,Ogataea,polymorpha,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Pichiaceae;genus:Ogataea
candida_glabrata,candida,glabrata,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Nakaseomyces
Histoplasma_capsulatum_h143,Histoplasma,capsulatum,h143,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Histoplasma
Paramicrosporidium_saccamoebae,Paramicrosporidium,saccamoebae,,phylum:Cryptomycota;;;;;genus:Paramicrosporidium
Penicillium_arizonense,Penicillium,arizonense,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Saccharomyces_cerevisiae_yjm969,Saccharomyces,cerevisiae,yjm969,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Verruconis_gallopava,Verruconis,gallopava,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Sympoventuriaceae;genus:Verruconis
Cryptococcus_neoformans_var_grubii,Cryptococcus,neoformans,var_grubii,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Enterocytozoon_bieneusi_h348,Enterocytozoon,bieneusi,h348,phylum:Microsporidia;;;;family:Enterocytozoonidae;genus:Enterocytozoon
Cercospora_beticola,Cercospora,beticola,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Cercospora
Fusarium_oxysporum_fo47,Fusarium,oxysporum,fo47,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Punctularia_strigosozonata_hhb_11173_ss5,Punctularia,strigosozonata,hhb_11173_ss5,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Punctulariaceae;genus:Punctularia
Batrachochytrium_salamandrivorans,Batrachochytrium,salamandrivorans,,phylum:Chytridiomycota;;class:Chytridiomycetes;;;genus:Batrachochytrium
Ophiocordyceps_australis,Ophiocordyceps,australis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Ophiocordycipitaceae;genus:Ophiocordyceps
Anncaliia_algerae_pra109,Anncaliia,algerae,pra109,phylum:Microsporidia;;;;family:Tubulinosematidae;genus:Anncaliia
